station_id,timestamp,temp_c,lat,lon,timezone,timestamp_utc
YVR-01,2025-01-01 00:00,-14.2,49.246,-123.116,America/Vancouver,2025-01-01 08:00
YVR-01,2025-01-01 00:00,-6.6,49.246,-123.116,America/Vancouver,2025-01-01 08:00
YVR-01,2025-01-01 08:28,-19.7,49.246,-123.116,America/Vancouver,2025-01-01 16:28
YVR-01,2025-01-01 00:00,-10.7,49.246,-123.116,America/Vancouver,2025-01-01 08:00
YVR-01,2025-01-01 16:42,-15.8,49.246,-123.116,America/Vancouver,2025-01-02 00:42
YVR-01,2025-01-01 20:07,-12.4,49.246,-123.116,America/Vancouver,2025-01-02 04:07
YVR-01,2025-01-02 00:00,-15.1,49.246,-123.116,America/Vancouver,2025-01-02 08:00
YVR-01,2025-01-02 00:00,-18.9,49.246,-123.116,America/Vancouver,2025-01-02 08:00
YVR-01,2025-01-02 00:00,-9.1,49.246,-123.116,America/Vancouver,2025-01-02 08:00
YVR-01,2025-01-02 12:18,-11.7,49.246,-123.116,America/Vancouver,2025-01-02 20:18
YVR-01,2025-01-02 16:22,-7.7,49.246,-123.116,America/Vancouver,2025-01-03 00:22
YVR-01,2025-01-02 20:10,-6.6,49.246,-123.116,America/Vancouver,2025-01-03 04:10
YVR-01,2025-01-03 00:10,-3.7,49.246,-123.116,America/Vancouver,2025-01-03 08:10
YVR-01,2025-01-03 04:23,-10.3,49.246,-123.116,America/Vancouver,2025-01-03 12:23
YVR-01,2025-01-03 00:00,-3.5,49.246,-123.116,America/Vancouver,2025-01-03 08:00
YVR-01,2025-01-03 12:35,-16.9,49.246,-123.116,America/Vancouver,2025-01-03 20:35
YVR-01,2025-01-03 16:39,-5.6,49.246,-123.116,America/Vancouver,2025-01-04 00:39
YVR-01,2025-01-03 20:23,-8.3,49.246,-123.116,America/Vancouver,2025-01-04 04:23
YVR-01,2025-01-04 00:02,-9.4,49.246,-123.116,America/Vancouver,2025-01-04 08:02
YVR-01,2025-01-04 04:21,-8.1,49.246,-123.116,America/Vancouver,2025-01-04 12:21
YVR-01,2025-01-04 00:00,-16.5,49.246,-123.116,America/Vancouver,2025-01-04 08:00
YVR-01,2025-01-04 12:01,-17.9,49.246,-123.116,America/Vancouver,2025-01-04 20:01
YVR-01,2025-01-04 16:23,-0.5,49.246,-123.116,America/Vancouver,2025-01-05 00:23
YVR-01,2025-01-04 20:43,-11.8,49.246,-123.116,America/Vancouver,2025-01-05 04:43
YVR-01,2025-01-05 00:00,-11.6,49.246,-123.116,America/Vancouver,2025-01-05 08:00
YVR-01,2025-01-05 04:37,-17.1,49.246,-123.116,America/Vancouver,2025-01-05 12:37
YVR-01,2025-01-05 08:01,-19.3,49.246,-123.116,America/Vancouver,2025-01-05 16:01
