station_id,timestamp,temp_c,lat,lon
YVR-01,2025-01-01,-14.2,49.246,-123.116
YVR-01,2025/01/01,-6.6,49.246,-123.116
YVR-01,2025-01-01 08:28AM,-19.7,49.246,-123.116
YVR-01,2025-01-01,-10.7,49.246,-123.116
YVR-01,2025-01-01 16:42:03,-15.8,49.246,-123.116
YVR-01,2025-01-01 20:07:12,-12.4,49.246,-123.116
YVR-01,2025-01-02,-15.1,49.246,-123.116
YVR-01,2025/01/02,-18.9,49.246,-123.116
YVR-01,2025/01/02,-9.1,49.246,-123.116
YVR-01,2025-01-02 12:18,-11.7,49.246,-123.116
YVR-01,2025-01-02 16:22:04.748149,-7.7,49.246,-123.116
YVR-01,2025-01-02 20:10:43.223492,-6.6,49.246,-123.116
YVR-01,2025-01-03 00:10:26.785833,-3.7,49.246,-123.116
YVR-01,2025-01-03 04:23AM,-10.3,49.246,-123.116
YVR-01,2025/01/03,-3.5,49.246,-123.116
YVR-01,2025-01-03 12:35,-16.9,49.246,-123.116
YVR-01,2025-01-03 16:39:37,-5.6,49.246,-123.116
YVR-01,2025-01-03 20:23:07.745423,-8.3,49.246,-123.116
YVR-01,2025-01-04 00:02:49,-9.4,49.246,-123.116
YVR-01,2025-01-04 04:21:02,-8.1,49.246,-123.116
YVR-01,2025-01-04,-16.5,49.246,-123.116
YVR-01,2025-01-04 12:01PM,-17.9,49.246,-123.116
YVR-01,2025-01-04 16:23,-0.5,49.246,-123.116
YVR-01,2025-01-04 08:43PM,-11.8,49.246,-123.116
YVR-01,2025-01-05,-11.6,49.246,-123.116
YVR-01,2025-01-05 04:37,-17.1,49.246,-123.116
YVR-01,2025-01-05 08:01,-19.3,49.246,-123.116
YVR-01,2025/01/05,-11.0,49.246,-123.116
YVR-01,2025-01-05 04:20PM,-12.5,49.246,-123.116
YVR-01,2025-01-05 08:32PM,-10.4,49.246,-123.116
YVR-01,2025/01/06,-9.6,49.246,-123.116
YVR-01,2025-01-06 04:57:16,4.8,49.246,-123.116
YVR-01,2025-01-06,-12.2,49.246,-123.116
YVR-01,2025-01-06 12:43PM,-0.7,49.246,-123.116
YVR-01,2025/01/06,-0.3,49.246,-123.116
YVR-01,2025-01-06 20:48,-5.6,49.246,-123.116
YVR-01,2025-01-07 00:26:51.005520,-11.2,49.246,-123.116
YVR-01,2025/01/07,-18.0,49.246,-123.116
YVR-01,2025-01-07 08:41:21.167527,-7.0,49.246,-123.116
YVR-01,2025-01-07 12:27:43,-3.7,49.246,-123.116
YVR-01,2025-01-07,0.6,49.246,-123.116
YVR-01,2025-01-07 20:15:35.959109,-15.5,49.246,-123.116
YVR-01,2025-01-08 00:14:04,-11.0,49.246,-123.116
YVR-01,2025-01-08 04:46:12.175121,-15.2,49.246,-123.116
YVR-01,2025-01-08 08:50,-13.3,49.246,-123.116
YVR-01,2025-01-08 12:43,-5.5,49.246,-123.116
YVR-01,2025-01-08 16:54,-13.6,49.246,-123.116
YVR-01,2025-01-08 20:51,-14.5,49.246,-123.116
YVR-01,2025/01/09,-4.4,49.246,-123.116
YVR-01,2025-01-09 04:02,-6.5,49.246,-123.116
YVR-01,2025-01-09 08:36,-7.1,49.246,-123.116
YVR-01,2025/01/09,-13.1,49.246,-123.116
YVR-01,2025-01-09 16:06,-1.5,49.246,-123.116
YVR-01,2025-01-09 20:20:54,-9.1,49.246,-123.116
YVR-01,2025-01-10 00:08:15,5.4,49.246,-123.116
YVR-01,2025-01-10 04:38AM,-8.0,49.246,-123.116
YVR-01,2025-01-10 08:17:16,-22.9,49.246,-123.116
YVR-01,2025-01-10,-23.2,49.246,-123.116
YVR-01,2025-01-10,-5.2,49.246,-123.116
YVR-01,2025-01-10,-1.1,49.246,-123.116
YVR-01,2025/01/11,-13.3,49.246,-123.116
YVR-01,2025-01-11 04:49:02,4.0,49.246,-123.116
YVR-01,2025-01-11,1.4,49.246,-123.116
YVR-01,2025-01-11 12:08PM,-7.4,49.246,-123.116
YVR-01,2025/01/11,-5.4,49.246,-123.116
YVR-01,2025-01-11 08:52PM,-3.2,49.246,-123.116
YVR-01,2025-01-12 00:01:27,3.0,49.246,-123.116
YVR-01,2025-01-12 04:19,-4.2,49.246,-123.116
YVR-01,2025-01-12 08:27AM,-7.2,49.246,-123.116
YVR-01,2025-01-12 12:46,-4.3,49.246,-123.116
YVR-01,2025/01/12,-5.1,49.246,-123.116
YVR-01,2025-01-12 08:06PM,-2.8,49.246,-123.116
YVR-01,2025-01-13 12:43AM,-17.4,49.246,-123.116
YVR-01,2025-01-13 04:07:55.307086,-6.1,49.246,-123.116
YVR-01,2025/01/13,-5.2,49.246,-123.116
YVR-01,2025/01/13,-8.4,49.246,-123.116
YVR-01,2025-01-13,-3.3,49.246,-123.116
YVR-01,2025-01-13 20:16:29,3.5,49.246,-123.116
YVR-01,2025-01-14 12:35AM,-6.9,49.246,-123.116
YVR-01,2025-01-14 04:49AM,-3.6,49.246,-123.116
YVR-01,2025/01/14,1.9,49.246,-123.116
YVR-01,2025/01/14,-6.7,49.246,-123.116
YVR-01,2025-01-14 16:01:17,-13.0,49.246,-123.116
YVR-01,2025/01/14,-4.0,49.246,-123.116
YVR-01,2025-01-15 00:53,-20.6,49.246,-123.116
YVR-01,2025-01-15 04:41,-21.2,49.246,-123.116
YVR-01,2025-01-15 08:03:32.758761,-5.4,49.246,-123.116
YVR-01,2025-01-15 12:53,-21.5,49.246,-123.116
YVR-01,2025-01-15 16:28,-15.3,49.246,-123.116
YVR-01,2025-01-15 20:17:11,-9.7,49.246,-123.116
YVR-01,2025-01-16 12:25AM,-11.4,49.246,-123.116
YVR-01,2025-01-16 04:43,-8.0,49.246,-123.116
YVR-01,2025-01-16 08:33:33.233612,-0.4,49.246,-123.116
YVR-01,2025/01/16,-5.7,49.246,-123.116
YVR-01,2025-01-16 16:35,-12.1,49.246,-123.116
YVR-01,2025-01-16 20:13:32.306081,1.0,49.246,-123.116
YVR-01,2025-01-17 00:30:22,-15.4,49.246,-123.116
YVR-01,2025/01/17,-5.5,49.246,-123.116
YVR-01,2025-01-17 08:14:44.196846,-16.1,49.246,-123.116
YVR-01,2025-01-17 12:07,-5.3,49.246,-123.116
YVR-01,2025-01-17 04:13PM,-8.7,49.246,-123.116
YVR-01,2025/01/17,-0.3,49.246,-123.116
YVR-01,2025/01/18,-2.2,49.246,-123.116
YVR-01,2025-01-18 04:56AM,-10.0,49.246,-123.116
YVR-01,2025/01/18,-11.2,49.246,-123.116
YVR-01,2025-01-18 12:20,-8.4,49.246,-123.116
YVR-01,2025/01/18,4.7,49.246,-123.116
YVR-01,2025-01-18 20:44,3.2,49.246,-123.116
